Parentgene	Type	Number	Frequency
KLHL5	Somatic	2	0.0030
KLHL5	Loss	0	0.0000
KPNA2	Germline	0	0.0000
KPNA2	Somatic	2	0.0030
KPNA2	Loss	0	0.0000
KRT14	Germline	0	0.0000
KRT14	Somatic	12	0.0181
KRT14	Loss	0	0.0000
KRT15	Germline	0	0.0000
KRT15	Somatic	4	0.0060
KRT15	Loss	0	0.0000
KRT17	Germline	2	0.0015
KRT17	Somatic	7	0.0106
KRT17	Loss	0	0.0000
KRT19	Germline	0	0.0000
KRT19	Somatic	1	0.0015
KRT19	Loss	0	0.0000
KRT5	Germline	0	0.0000
KRT5	Somatic	49	0.0739
KRT5	Loss	0	0.0000
KRT6A	Germline	2	0.0015
KRT6A	Somatic	22	0.0332
KRT6A	Loss	0	0.0000
KRT8	Germline	0	0.0000
KRT8	Somatic	3	0.0045
KRT8	Loss	0	0.0000
KTN1	Germline	0	0.0000
KTN1	Somatic	8	0.0121
KTN1	Loss	0	0.0000
LAMC2	Germline	0	0.0000
LAMC2	Somatic	1	0.0015
LAMC2	Loss	0	0.0000
LANCL1	Germline	0	0.0000
LANCL1	Somatic	1	0.0015
LANCL1	Loss	0	0.0000
LAPTM4B	Germline	8	0.0060
LAPTM4B	Somatic	0	0.0000
LAPTM4B	Loss	1	0.0015
LARS	Germline	0	0.0000
LARS	Somatic	1	0.0015
LARS	Loss	0	0.0000
LDB1	Germline	0	0.0000
LDB1	Somatic	1	0.0015
LDB1	Loss	0	0.0000
LDHB	Germline	0	0.0000
LDHB	Somatic	1	0.0015
LDHB	Loss	0	0.0000
LHFPL4	Germline	4	0.0030
LHFPL4	Somatic	0	0.0000
LHFPL4	Loss	0	0.0000
LIN28A	Germline	2	0.0015
LIN28A	Somatic	0	0.0000
LIN28A	Loss	0	0.0000
LOC220729	Germline	0	0.0000
LOC220729	Somatic	1	0.0015
LOC220729	Loss	0	0.0000
LOC441242	Germline	4	0.0030
LOC441242	Somatic	0	0.0000
LOC441242	Loss	0	0.0000
LRP2BP	Germline	0	0.0000
LRP2BP	Somatic	1	0.0015
LRP2BP	Loss	0	0.0000
LRRC40	Germline	0	0.0000
LRRC40	Somatic	1	0.0015
LRRC40	Loss	0	0.0000
LRRC8D	Germline	0	0.0000
LRRC8D	Somatic	1	0.0015
LRRC8D	Loss	0	0.0000
LSM14A	Germline	0	0.0000
LSM14A	Somatic	1	0.0015
LSM14A	Loss	0	0.0000
LSM5	Germline	0	0.0000
LSM5	Somatic	1	0.0015
LSM5	Loss	0	0.0000
LYRM7	Germline	0	0.0000
LYRM7	Somatic	1	0.0015
LYRM7	Loss	0	0.0000
MAD2L2	Germline	0	0.0000
MAD2L2	Somatic	1	0.0015
MAD2L2	Loss	0	0.0000
MAL2	Germline	0	0.0000
MAL2	Somatic	2	0.0030
MAL2	Loss	0	0.0000
MATR3	Germline	14	0.0106
MATR3	Somatic	0	0.0000
MATR3	Loss	0	0.0000
MBD2	Germline	0	0.0000
